Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,33148.8984375,33387.51953125,32850.5703125,33136.37109375,33136.37109375,355930000
2023-01-04,33165.140625,33409.1015625,33033.48046875,33269.76953125,33269.76953125,379400000
2023-01-05,33191.71875,33191.71875,32812.328125,32930.078125,32930.078125,337920000
2023-01-06,33055.30078125,33710.66015625,32997.390625,33630.609375,33630.609375,360740000
2023-01-09,33664.390625,33935.109375,33487.66015625,33517.6484375,33517.6484375,327840000
2023-01-10,33516.4296875,33726.5390625,33421.80078125,33704.1015625,33704.1015625,268260000
2023-01-11,33754.03125,33974.69140625,33711.0390625,33973.01171875,33973.01171875,301650000
2023-01-12,34047.859375,34292.671875,33792.1015625,34189.96875,34189.96875,308190000
2023-01-13,34075.30859375,34342.3203125,33915.48828125,34302.609375,34302.609375,274110000
2023-01-17,34222.3203125,34269.96875,33860.671875,33910.8515625,33910.8515625,353050000
2023-01-18,33948.48828125,34016.53125,33269.8984375,33296.9609375,33296.9609375,351670000
2023-01-19,33171.3515625,33227.48828125,32982.05078125,33044.55859375,33044.55859375,319770000
2023-01-20,33073.4609375,33381.94921875,32948.9296875,33375.48828125,33375.48828125,367330000
2023-01-23,33439.55859375,33782.87890625,33316.25,33629.55859375,33629.55859375,355220000
2023-01-24,33444.71875,33782.921875,33310.55859375,33733.9609375,33733.9609375,299310000
2023-01-25,33538.359375,33773.08984375,33273.2109375,33743.83984375,33743.83984375,341720000
2023-01-26,33771.66015625,33953.7890625,33635.6015625,33949.41015625,33949.41015625,327000000
2023-01-27,33952.9296875,34164.328125,33830.8515625,33978.078125,33978.078125,441260000
2023-01-30,33909.2109375,34055.2890625,33695.1796875,33717.08984375,33717.08984375,343920000
2023-01-31,33803.55859375,34095.23046875,33664.91015625,34086.0390625,34086.0390625,360240000
2023-02-01,34039.6015625,34334.69921875,33581.421875,34092.9609375,34092.9609375,370120000
2023-02-02,34129.30078125,34145.140625,33814.78125,34053.94140625,34053.94140625,429910000
2023-02-03,33926.30078125,34179.578125,33813.859375,33926.01171875,33926.01171875,425150000
2023-02-06,33874.44140625,33962.83984375,33683.578125,33891.01953125,33891.01953125,296400000
2023-02-07,33769.78125,34240.0,33634.1015625,34156.69140625,34156.69140625,361620000
2023-02-08,34132.8984375,34161.6484375,33899.7890625,33949.01171875,33949.01171875,324090000
2023-02-09,34105.609375,34252.5703125,33607.12890625,33699.87890625,33699.87890625,347520000
2023-02-10,33671.5390625,33897.30859375,33591.98828125,33869.26953125,33869.26953125,288150000
2023-02-13,33887.390625,34249.6015625,33887.390625,34245.9296875,34245.9296875,302600000
2023-02-14,34194.08984375,34331.46875,33827.44921875,34089.26953125,34089.26953125,288820000
2023-02-15,34008.62890625,34130.48828125,33833.1015625,34128.05078125,34128.05078125,267530000
2023-02-16,33992.08984375,34041.16015625,33686.58984375,33696.8515625,33696.8515625,317530000
2023-02-17,33677.01171875,33846.640625,33517.73046875,33826.69140625,33826.69140625,302900000
2023-02-21,33699.69140625,33699.69140625,33115.73828125,33129.58984375,33129.58984375,348320000
2023-02-22,33169.328125,33245.96875,32948.26953125,33045.08984375,33045.08984375,321910000
2023-02-23,33175.390625,33272.3984375,32795.671875,33153.91015625,33153.91015625,288120000
2023-02-24,32999.19140625,32999.19140625,32643.48046875,32816.921875,32816.921875,277120000
2023-02-27,32906.16015625,33189.28125,32814.1796875,32889.08984375,32889.08984375,243660000
2023-02-28,32873.46875,32873.46875,32636.4296875,32656.69921875,32656.69921875,303760000
2023-03-01,32656.369140625,32746.150390625,32500.7109375,32661.83984375,32661.83984375,292810000
2023-03-02,32780.96875,33083.44921875,32665.849609375,33003.5703125,33003.5703125,317450000
2023-03-03,33076.328125,33405.8203125,33008.41015625,33390.96875,33390.96875,300050000
2023-03-06,33425.3203125,33572.21875,33383.46875,33431.44140625,33431.44140625,329190000
2023-03-07,33428.30859375,33453.25,32838.2109375,32856.4609375,32856.4609375,299400000
2023-03-08,32872.078125,32903.44140625,32612.69921875,32798.3984375,32798.3984375,242750000
2023-03-09,32876.828125,32990.4609375,32190.599609375,32254.859375,32254.859375,315860000
2023-03-10,32185.140625,32422.099609375,31783.41015625,31909.640625,31909.640625,397790000
2023-03-13,31819.9296875,32240.349609375,31624.869140625,31819.140625,31819.140625,429090000
2023-03-14,32055.2890625,32306.58984375,31805.400390625,32155.400390625,32155.400390625,391760000
2023-03-15,31759.869140625,31906.470703125,31429.8203125,31874.5703125,31874.5703125,420910000
2023-03-16,31827.650390625,32281.609375,31571.4609375,32246.55078125,32246.55078125,440940000
2023-03-17,32217.3203125,32217.3203125,31728.69921875,31861.98046875,31861.98046875,712100000
