日期,外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
4-6,"10,000","-9,000",0,0,0,0,0,0,"-30,221",0,0,0,"40,073","70,294","-30,221","-39,221"
4-7,0,"2,000",0,0,0,0,0,0,"17,485",0,0,0,"35,006","17,521","17,485","19,485"
4-10,0,0,0,0,0,0,0,0,"-9,272",0,0,0,"11,000","20,272","-9,272","-9,272"
4-11,0,0,0,0,0,0,0,0,"14,011",0,0,0,"25,011","11,000","14,011","14,011"
4-12,0,0,0,0,0,0,0,0,"12,000",0,0,0,"73,000","61,000","12,000","12,000"
4-13,0,"47,000",0,0,0,0,0,0,"23,000",0,0,0,"53,000","30,000","23,000","70,000"
4-14,"1,000","18,000",0,0,0,0,0,0,"-1,465",0,0,0,"13,535","15,000","-1,465","16,535"
4-17,"1,000",0,0,0,0,0,0,0,"-2,000",0,0,0,"8,000","10,000","-2,000","-2,000"
4-18,0,0,0,0,0,0,0,0,"3,000",0,0,0,"13,000","10,000","3,000","3,000"
4-19,0,"3,000",0,0,0,0,0,0,"-1,000",0,0,0,"55,000","56,000","-1,000","2,000"
4-20,0,"1,000",0,0,0,0,0,0,"1,000",0,0,0,"12,000","11,000","1,000","2,000"
4-21,0,0,0,0,0,0,0,0,"103,843",0,0,0,"134,000","30,157","103,843","103,843"
4-24,"3,000","-1,000",0,0,0,0,0,0,"-8,000",0,0,0,"1,000","9,000","-8,000","-9,000"
4-25,"1,000","2,000",0,0,0,0,0,0,"1,000",0,0,0,"31,000","30,000","1,000","3,000"
4-26,"330,000","-330,000",0,0,0,0,0,0,"334,006",0,0,0,"385,006","51,000","334,006","4,006"
4-27,"181,000","-180,000",0,0,0,0,0,0,"153,000",0,0,0,"233,000","80,000","153,000","-27,000"
4-28,0,"10,000",0,0,0,0,0,0,"-35,000",0,0,0,0,"35,000","-35,000","-25,000"
5-2,0,"62,000",0,0,0,0,0,0,"-50,788",0,0,0,"11,212","62,000","-50,788","11,212"
5-3,"1,000",0,0,0,0,0,0,0,"-8,955",0,0,0,"107,045","116,000","-8,955","-8,955"
